1686215796.399907,in-event <InotifyEvent: src_path=b'FirewallRules.json', wd=1, mask=IN_OPEN, cookie=0, name=''>
1686215803.874912,192.168.29.141,38300,1543,0,146
1686215804.871410,192.168.29.141,38044,1543,256,146
1686215805.857769,192.168.29.141,37788,1543,512,146
1686215806.349219,192.168.29.136,3065,60422,0,28
1686215806.355216,192.168.29.136,2809,60422,256,28
1686215806.366544,192.168.29.136,2553,60422,512,28
1686215806.462553,192.168.29.136,2297,60422,768,28
1686215806.542235,192.168.29.136,2041,60422,1024,28
1686215806.553798,192.168.29.136,1785,60422,1280,28
1686215806.565371,192.168.29.136,1529,60422,1536,28
1686215806.645140,192.168.29.136,1273,60422,1792,28
1686215806.725268,192.168.29.136,1017,60422,2048,28
1686215806.737216,192.168.29.136,761,60422,2304,28
1686215806.748679,192.168.29.136,505,60422,2560,28
1686215806.770673,192.168.29.136,249,60422,2816,28
1686215806.782411,192.168.29.136,65528,60422,3072,28
1686215806.788677,192.168.29.136,65272,60422,3328,28
1686215806.799993,192.168.29.136,65016,60422,3584,28
1686215806.811440,192.168.29.136,64760,60422,3840,28
1686215806.822865,192.168.29.136,64504,60422,4096,28
1686215806.833978,192.168.29.136,64248,60422,4352,28
1686215806.845199,192.168.29.136,63992,60422,4608,28
1686215806.856825,192.168.29.136,63736,60422,4864,28
1686215806.884805,192.168.29.136,63480,60422,5120,28
1686215806.896414,192.168.29.136,63224,60422,5376,28
1686215806.908354,192.168.29.136,62968,60422,5632,28
1686215806.987813,192.168.29.136,62712,60422,5888,28
1686215806.999413,192.168.29.136,62456,60422,6144,28
1686215807.010907,192.168.29.136,62200,60422,6400,28
1686215807.022368,192.168.29.136,61944,60422,6656,28
1686215807.033435,192.168.29.136,61688,60422,6912,28
1686215807.049914,192.168.29.136,61432,60422,7168,28
1686215807.050514,192.168.29.136,61176,60422,7424,28
1686215807.151264,192.168.29.136,60920,60422,7680,28
1686215807.157655,192.168.29.136,60664,60422,7936,28
1686215807.169383,192.168.29.136,60408,60422,8192,28
1686215807.181858,192.168.29.136,60152,60422,8448,28
