1686211862.252491,in-event <InotifyEvent: src_path=b'FirewallRules.json', wd=1, mask=IN_OPEN, cookie=0, name=''>
1686211866.161938,192.168.29.136,35017,22238,1,84
1686211867.118363,192.168.29.136,28864,22238,2,84
1686211868.131665,192.168.29.136,7863,22238,3,84
1686211869.124914,192.168.29.136,5296,22238,4,84
1686211870.143668,192.168.29.136,58535,22238,5,84
1686211871.137019,192.168.29.136,5025,22238,6,84
1686211872.117074,192.168.29.136,17818,22238,7,84
1686211873.122692,192.168.29.136,16018,22238,8,84
1686211874.128593,192.168.29.136,64399,22238,9,84
1686211875.145268,192.168.29.136,30601,22238,10,84
1686211876.126687,192.168.29.136,16515,22238,11,84
1686211877.133060,192.168.29.136,29562,22238,12,84
1686211878.130426,192.168.29.136,5237,22238,13,84
1686211879.160967,192.168.29.136,52078,22238,14,84
1686211880.155704,192.168.29.136,46442,22238,15,84
1686211881.153648,192.168.29.136,1378,22238,16,84
1686211882.136240,192.168.29.136,12891,22238,17,84
1686211883.164291,192.168.29.136,10323,22238,18,84
1686211884.311533,192.168.29.136,9035,22238,19,84
1686211885.159850,192.168.29.136,36425,22238,20,84
1686211886.195674,192.168.29.136,51270,22238,21,84
1686211887.139172,192.168.29.136,57920,22238,22,84
1686211888.142177,192.168.29.136,36409,22238,23,84
1686211889.166203,192.168.29.136,8244,22238,24,84
1686211890.169419,192.168.29.136,5419,22238,25,84
1686211891.205357,192.168.29.136,49699,22238,26,84
1686211892.148196,192.168.29.136,30754,22238,27,84
1686211893.167984,192.168.29.136,34844,22238,28,84
1686211894.154529,192.168.29.136,32534,22238,29,84
1686211895.289914,192.168.29.136,39183,22238,30,84
1686211896.159991,192.168.29.136,59147,22238,31,84
1686211897.155378,192.168.29.136,50178,22238,32,84
1686211898.159290,192.168.29.136,23292,22238,33,84
1686211899.219702,192.168.29.136,49909,22238,34,84
1686211900.203630,192.168.29.136,47601,22238,35,84
1686211901.196558,192.168.29.136,10477,22238,36,84
1686211902.159098,192.168.29.136,31975,22238,37,84
1686211903.228552,192.168.29.136,53216,22238,38,84
1686211904.166746,192.168.29.136,14047,22238,39,84
1686211905.295129,192.168.29.136,46294,22238,40,84
1686211906.162396,192.168.29.136,25556,22238,41,84
1686211907.257892,192.168.29.136,51659,22238,42,84
1686211908.164796,192.168.29.136,33224,22238,43,84
1686211909.168760,192.168.29.136,64961,22238,44,84
1686211910.165881,192.168.29.136,39867,22238,45,84
1686211911.198904,192.168.29.136,44210,22238,46,84
1686211912.200592,192.168.29.136,30121,22238,47,84
1686211913.186743,192.168.29.136,2977,22238,48,84
1686211914.178164,192.168.29.136,35993,22238,49,84
1686211915.227423,192.168.29.136,4499,22238,50,84
1686211916.195879,192.168.29.136,34702,22238,51,84
1686211917.191685,192.168.29.136,48778,22238,52,84
1686211918.209074,192.168.29.136,31874,22238,53,84
1686211919.254677,192.168.29.136,24192,22238,54,84
1686211920.323806,192.168.29.136,5757,22238,55,84
1686211921.211754,192.168.29.136,27514,22238,56,84
1686211922.197526,192.168.29.136,6520,22238,57,84
1686211923.285264,192.168.29.136,55406,22238,58,84
1686211924.197030,192.168.29.136,42859,22238,59,84
1686211925.197165,192.168.29.136,24676,22238,60,84
1686211926.243426,192.168.29.136,29020,22238,61,84
1686211927.190040,192.168.29.136,61272,22238,62,84
1686211928.198165,192.168.29.136,38738,22238,63,84
1686211929.189521,192.168.29.136,28240,22238,64,84
1686211930.239293,192.168.29.136,14152,22238,65,84
1686211931.194170,192.168.29.136,14659,22238,66,84
1686211932.271959,192.168.29.136,28729,22238,67,84
1686211933.217551,192.168.29.136,41013,22238,68,84
1686211934.225402,192.168.29.136,39731,22238,69,84
1686211935.273912,192.168.29.136,37938,22238,70,84
1686211936.220987,192.168.29.136,16689,22238,71,84
1686211937.252414,192.168.29.136,45868,22238,72,84
1686211938.205787,192.168.29.136,49192,22238,73,84
1686211939.225640,192.168.29.136,61474,22238,74,84
1686211940.207325,192.168.29.136,63006,22238,75,84
1686211941.320422,192.168.29.136,47894,22238,76,84
1686211942.220456,192.168.29.136,37652,22238,77,84
1686211943.253055,192.168.29.136,30738,22238,78,84
1686211944.216495,192.168.29.136,8464,22238,79,84
1686211945.288491,192.168.29.136,48651,22238,80,84
1686211946.213861,192.168.29.136,3338,22238,81,84
1686211947.222384,192.168.29.136,62214,22238,82,84
1686211948.233656,192.168.29.136,47362,22238,83,84
1686211949.218815,192.168.29.136,47612,22238,84,84
1686211950.287829,192.168.29.136,57335,22238,85,84
1686211951.240422,192.168.29.136,22259,22238,86,84
1686211952.208798,192.168.29.136,60655,22238,87,84
1686211953.239125,192.168.29.136,61673,22238,88,84
1686211954.254082,192.168.29.136,63463,22238,89,84
1686211955.212157,192.168.29.136,54242,22238,90,84
1686211956.227039,192.168.29.136,49885,22238,91,84
1686211957.219708,192.168.29.136,58074,22238,92,84
1686211958.246410,192.168.29.136,12503,22238,93,84
1686211959.215697,192.168.29.136,10193,22238,94,84
1686211960.221063,192.168.29.136,205,22238,95,84
1686211961.218486,192.168.29.136,8647,22238,96,84
1686211962.223262,192.168.29.136,48831,22238,97,84
1686211963.255090,192.168.29.136,25527,22238,98,84
1686211964.256093,192.168.29.136,49073,22238,99,84
1686211965.234327,192.168.29.136,31147,22238,100,84
1686211966.298836,192.168.29.136,29347,22238,101,84
1686211967.292529,192.168.29.136,21405,22238,102,84
1686211968.226745,192.168.29.136,20117,22238,103,84
1686211969.230000,192.168.29.136,9102,22238,104,84
1686211970.243211,192.168.29.136,4486,22238,105,84
1686211971.304376,192.168.29.136,10880,22238,106,84
1686211972.254852,192.168.29.136,46198,22238,107,84
1686211973.256736,192.168.29.136,32367,22238,108,84
1686211974.244713,192.168.29.136,30055,22238,109,84
1686211975.257629,192.168.29.136,18014,22238,110,84
1686211976.348063,192.168.29.136,20311,22238,111,84
1686211977.295124,192.168.29.136,60240,22238,112,84
1686211978.304852,192.168.29.136,14409,22238,113,84
1686211979.265057,192.168.29.136,23872,22238,114,84
1686211980.289683,192.168.29.136,311,22238,115,84
1686211981.253654,192.168.29.136,24621,22238,116,84
1686211982.255027,192.168.29.136,3366,22238,117,84
1686211983.269565,192.168.29.136,20255,22238,118,84
1686211984.289243,192.168.29.136,18455,22238,119,84
1686211985.261342,192.168.29.136,19472,22238,120,84
1686211986.266468,192.168.29.136,4360,22238,121,84
1686211987.266810,192.168.29.136,31236,22238,122,84
1686211988.269950,192.168.29.136,59129,22238,123,84
1686211989.339977,192.168.29.136,47858,22238,124,84
1686211990.304388,192.168.29.136,6634,22238,125,84
1686211991.273364,192.168.29.136,60129,22238,126,84
1686211992.272883,192.168.29.136,19417,22238,127,84
1686211993.335446,192.168.29.136,31955,22238,128,84
1686211994.360268,192.168.29.136,41420,22238,129,84
1686211995.326804,192.168.29.136,964,22238,130,84
1686211996.281934,192.168.29.136,46780,22238,131,84
