1686214421.215353,in-event <InotifyEvent: src_path=b'FirewallRules.json', wd=1, mask=IN_OPEN, cookie=0, name=''>
1686214424.074525,192.168.29.136,17811,18472,1,84
1686214425.075590,192.168.29.136,21131,18472,2,84
1686214426.079144,192.168.29.136,10883,18472,3,84
1686214427.080148,192.168.29.136,47482,18472,4,84
1686214428.080968,192.168.29.136,38002,18472,5,84
1686214429.083449,192.168.29.136,46698,18472,6,84
1686214430.085168,192.168.29.136,2145,18472,7,84
1686214431.087566,192.168.29.136,20568,18472,8,84
1686214432.089060,192.168.29.136,55376,18472,9,84
1686214433.091651,192.168.29.136,5959,18472,10,84
1686214434.092587,192.168.29.136,32064,18472,11,84
1686214435.095424,192.168.29.136,42551,18472,12,84
1686214436.095867,192.168.29.136,61742,18472,13,84
1686214437.099067,192.168.29.136,38692,18472,14,84
1686214438.101100,192.168.29.136,17435,18472,15,84
1686214439.102843,192.168.29.136,43027,18472,16,84
1686214440.104796,192.168.29.136,28939,18472,17,84
1686214441.107170,192.168.29.136,56577,18472,18,84
1686214442.108737,192.168.29.136,4603,18472,19,84
1686214443.110398,192.168.29.136,5618,18472,20,84
1686214444.111916,192.168.29.136,46569,18472,21,84
1686214445.114819,192.168.29.136,60384,18472,22,84
1686214446.116734,192.168.29.136,35031,18472,23,84
1686214447.118439,192.168.29.136,30673,18472,24,84
1686214448.119153,192.168.29.136,14027,18472,25,84
1686214449.120474,192.168.29.136,8386,18472,26,84
1686214450.123120,192.168.29.136,26041,18472,27,84
1686214451.124497,192.168.29.136,435,18472,28,84
1686214452.127418,192.168.29.136,58281,18472,29,84
1686214453.129389,192.168.29.136,65439,18472,30,84
1686214454.132428,192.168.29.136,6294,18472,31,84
1686214455.132895,192.168.29.136,18063,18472,32,84
1686214456.134758,192.168.29.136,22150,18472,33,84
1686214457.137165,192.168.29.136,51581,18472,34,84
1686214458.139116,192.168.29.136,17524,18472,35,84
1686214459.140478,192.168.29.136,24686,18472,36,84
1686214460.142265,192.168.29.136,58981,18472,37,84
1686214461.143883,192.168.29.136,8798,18472,38,84
1686214462.146215,192.168.29.136,58708,18472,39,84
1686214463.147966,192.168.29.136,51019,18472,40,84
1686214464.150139,192.168.29.136,55363,18472,41,84
1686214465.152236,192.168.29.136,37434,18472,42,84
1686214466.153081,192.168.29.136,13874,18472,43,84
1686214467.156214,192.168.29.136,15658,18472,44,84
1686214468.157043,192.168.29.136,38179,18472,45,84
1686214469.159652,192.168.29.136,28443,18472,46,84
1686214470.160752,192.168.29.136,1301,18472,47,84
1686214471.163212,192.168.29.136,12811,18472,48,84
1686214472.163555,192.168.29.136,5892,18472,49,84
1686214473.165807,192.168.29.136,9724,18472,50,84
1686214474.167978,192.168.29.136,55541,18472,51,84
1686214475.170051,192.168.29.136,20204,18472,52,84
1686214476.171723,192.168.29.136,27620,18472,53,84
1686214477.173120,192.168.29.136,15070,18472,54,84
