1686223937.923010,in-event <InotifyEvent: src_path=b'FirewallRules.json', wd=1, mask=IN_OPEN, cookie=0, name=''>
1686223943.432670,192.168.29.136,1987,8,12296,28
1686223943.444569,192.168.29.136,1988,8,12295,28
1686223943.461256,192.168.29.136,1989,8,12294,28
1686223943.462027,192.168.29.136,1990,8,12293,28
1686223943.468019,192.168.29.136,1991,8,12292,28
1686223943.568942,192.168.29.136,1992,8,12291,28
1686223943.623187,192.168.29.136,1993,8,12290,28
1686223943.629500,192.168.29.136,1994,8,12289,28
1686223943.835387,192.168.29.136,1995,8,12288,28
1686223943.841196,192.168.29.136,1996,8,12287,28
1686223943.851962,192.168.29.136,1997,8,12286,28
1686223943.862941,192.168.29.136,1998,8,12285,28
1686223943.874609,192.168.29.136,1999,8,12284,28
1686223943.886525,192.168.29.136,2000,8,12283,28
1686223943.892727,192.168.29.136,2001,8,12282,28
1686223943.893364,192.168.29.136,2002,8,12281,28
1686223943.893952,192.168.29.136,2003,8,12280,28
1686223943.905844,192.168.29.136,2004,8,12279,28
1686223943.917651,192.168.29.136,2005,8,12278,28
1686223943.928895,192.168.29.136,2006,8,12277,28
1686223943.934791,192.168.29.136,2007,8,12276,28
1686223944.025404,192.168.29.136,2008,8,12275,28
1686223944.159914,192.168.29.136,2009,8,12274,28
1686223944.171259,192.168.29.136,2010,8,12273,28
1686223944.289278,192.168.29.136,2011,8,12272,28
1686223944.295442,192.168.29.136,2012,8,12271,28
1686223944.296035,192.168.29.136,2013,8,12270,28
1686223944.307208,192.168.29.136,2014,8,12269,28
1686223944.350282,192.168.29.136,2015,8,12268,28
1686223944.362021,192.168.29.136,2016,8,12267,28
1686223944.415495,192.168.29.136,2017,8,12266,28
1686223944.426772,192.168.29.136,2018,8,12265,28
1686223944.553720,192.168.29.136,2019,8,12264,28
1686223944.643660,192.168.29.136,2020,8,12263,28
1686223944.654681,192.168.29.136,2021,8,12262,28
1686223944.734251,192.168.29.136,2022,8,12261,28
1686223944.745816,192.168.29.136,2023,8,12260,28
1686223944.751873,192.168.29.136,2024,8,12259,28
1686223944.762756,192.168.29.136,2025,8,12258,28
1686223944.768357,192.168.29.136,2026,8,12257,28
1686223944.779622,192.168.29.136,2027,8,12256,28
1686223944.796301,192.168.29.136,2028,8,12255,28
1686223944.807394,192.168.29.136,2029,8,12254,28
1686223945.053870,192.168.29.136,2030,8,12253,28
1686223945.059610,192.168.29.136,2031,8,12252,28
1686223945.059873,192.168.29.136,2032,8,12251,28
1686223945.071338,192.168.29.136,2033,8,12250,28
1686223945.266477,192.168.29.136,2034,8,12249,28
1686223945.277822,192.168.29.136,2035,8,12248,28
1686223945.289110,192.168.29.136,2036,8,12247,28
1686223945.332064,192.168.29.136,2037,8,12246,28
1686223945.401422,192.168.29.136,2038,8,12245,28
1686223945.407585,192.168.29.136,2039,8,12244,28
1686223945.418871,192.168.29.136,2040,8,12243,28
1686223945.424780,192.168.29.136,2041,8,12242,28
1686223945.620256,192.168.29.136,2042,8,12241,28
1686223945.674377,192.168.29.136,2043,8,12240,28
1686223945.680695,192.168.29.136,2044,8,12239,28
1686223945.686644,192.168.29.136,2045,8,12238,28
1686223945.698345,192.168.29.136,2046,8,12237,28
1686223946.039402,192.168.29.136,2047,8,12236,28
1686223946.050948,192.168.29.136,2048,8,12235,28
1686223946.061830,192.168.29.136,2049,8,12234,28
1686223946.073088,192.168.29.136,2050,8,12233,28
1686223946.094529,192.168.29.136,2051,8,12232,28
1686223946.106186,192.168.29.136,2052,8,12231,28
1686223946.284743,192.168.29.136,2053,8,12230,28
1686223946.296212,192.168.29.136,2054,8,12229,28
1686223946.307904,192.168.29.136,2055,8,12228,28
1686223946.319326,192.168.29.136,2056,8,12227,28
1686223946.336018,192.168.29.136,2057,8,12226,28
1686223946.447093,192.168.29.136,2058,8,12225,28
1686223946.469159,192.168.29.136,2059,8,12224,28
1686223946.480072,192.168.29.136,2060,8,12223,28
1686223946.491279,192.168.29.136,2061,8,12222,28
1686223946.502739,192.168.29.136,2062,8,12221,28
1686223946.519753,192.168.29.136,2063,8,12220,28
1686223946.531032,192.168.29.136,2064,8,12219,28
1686223946.547639,192.168.29.136,2065,8,12218,28
1686223946.558961,192.168.29.136,2066,8,12217,28
1686223946.570232,192.168.29.136,2067,8,12216,28
1686223946.576291,192.168.29.136,2068,8,12215,28
1686223946.581897,192.168.29.136,2069,8,12214,28
1686223946.765970,192.168.29.136,2070,8,12213,28
1686223946.777371,192.168.29.136,2071,8,12212,28
1686223946.835785,192.168.29.136,2072,8,12211,28
1686223946.847110,192.168.29.136,2073,8,12210,28
1686223946.895061,192.168.29.136,2074,8,12209,28
1686223946.906244,192.168.29.136,2075,8,12208,28
1686223946.995987,192.168.29.136,2076,8,12207,28
1686223947.231964,192.168.29.136,2077,8,12206,28
1686223947.243305,192.168.29.136,2078,8,12205,28
1686223947.254520,192.168.29.136,2079,8,12204,28
1686223947.317990,192.168.29.136,2080,8,12203,28
1686223947.329396,192.168.29.136,2081,8,12202,28
1686223947.345749,192.168.29.136,2082,8,12201,28
1686223947.356982,192.168.29.136,2083,8,12200,28
1686223947.368231,192.168.29.136,2084,8,12199,28
1686223947.483705,192.168.29.136,2085,8,12198,28
1686223947.494988,192.168.29.136,2086,8,12197,28
1686223947.500957,192.168.29.136,2087,8,12196,28
1686223947.590465,192.168.29.136,2088,8,12195,28
1686223947.606581,192.168.29.136,2089,8,12194,28
1686223947.617820,192.168.29.136,2090,8,12193,28
1686223947.634499,192.168.29.136,2091,8,12192,28
1686223947.838626,192.168.29.136,2092,8,12191,28
1686223947.854584,192.168.29.136,2093,8,12190,28
1686223947.954694,192.168.29.136,2094,8,12189,28
1686223947.971304,192.168.29.136,2095,8,12188,28
1686223948.003634,192.168.29.136,2096,8,12187,28
1686223948.014654,192.168.29.136,2097,8,12186,28
1686223948.030931,192.168.29.136,2098,8,12185,28
1686223948.099981,192.168.29.136,2099,8,12184,28
1686223948.111317,192.168.29.136,2100,8,12183,28
1686223948.122721,192.168.29.136,2101,8,12182,28
1686223948.133973,192.168.29.136,2102,8,12181,28
1686223948.207746,192.168.29.136,2103,8,12180,28
1686223948.219039,192.168.29.136,2104,8,12179,28
1686223948.230281,192.168.29.136,2105,8,12178,28
1686223948.241615,192.168.29.136,2106,8,12177,28
1686223948.252691,192.168.29.136,2107,8,12176,28
1686223948.378571,192.168.29.136,2108,8,12175,28
1686223948.384794,192.168.29.136,2109,8,12174,28
1686223948.396843,192.168.29.136,2110,8,12173,28
1686223948.423837,192.168.29.136,2111,8,12172,28
1686223948.434931,192.168.29.136,2112,8,12171,28
1686223948.446299,192.168.29.136,2113,8,12170,28
1686223948.457864,192.168.29.136,2114,8,12169,28
1686223948.468786,192.168.29.136,2115,8,12168,28
1686223948.506344,192.168.29.136,2116,8,12167,28
1686223948.517649,192.168.29.136,2117,8,12166,28
1686223948.696391,192.168.29.136,2118,8,12165,28
1686223948.707728,192.168.29.136,2119,8,12164,28
1686223948.745698,192.168.29.136,2120,8,12163,28
1686223948.778387,192.168.29.136,2121,8,12162,28
1686223948.795600,192.168.29.136,2122,8,12161,28
1686223948.807296,192.168.29.136,2123,8,12160,28
1686223948.824781,192.168.29.136,2124,8,12159,28
1686223948.836592,192.168.29.136,2125,8,12158,28
1686223948.848741,192.168.29.136,2126,8,12157,28
1686223948.860623,192.168.29.136,2127,8,12156,28
1686223948.861415,192.168.29.136,2128,8,12155,28
1686223948.904826,192.168.29.136,2129,8,12154,28
1686223949.011090,192.168.29.136,2130,8,12153,28
1686223949.022567,192.168.29.136,2131,8,12152,28
1686223949.112856,192.168.29.136,2132,8,12151,28
1686223949.124426,192.168.29.136,2133,8,12150,28
1686223949.135775,192.168.29.136,2134,8,12149,28
