1686223644.420660,in-event <InotifyEvent: src_path=b'FirewallRules.json', wd=1, mask=IN_OPEN, cookie=0, name=''>
1686223646.606479,192.168.29.136,2089,8,12194,28
1686223646.617898,192.168.29.136,2090,8,12193,28
1686223646.634579,192.168.29.136,2091,8,12192,28
1686223646.646132,192.168.29.136,2092,8,12191,28
1686223646.657636,192.168.29.136,2093,8,12190,28
1686223646.658351,192.168.29.136,2094,8,12189,28
1686223646.669674,192.168.29.136,2095,8,12188,28
1686223646.680445,192.168.29.136,2096,8,12187,28
1686223646.691530,192.168.29.136,2097,8,12186,28
1686223646.702846,192.168.29.136,2098,8,12185,28
1686223646.713716,192.168.29.136,2099,8,12184,28
1686223646.724796,192.168.29.136,2100,8,12183,28
1686223647.022045,192.168.29.136,2101,8,12182,28
1686223647.033289,192.168.29.136,2102,8,12181,28
1686223647.044342,192.168.29.136,2103,8,12180,28
1686223647.055449,192.168.29.136,2104,8,12179,28
1686223647.071743,192.168.29.136,2105,8,12178,28
1686223647.082773,192.168.29.136,2106,8,12177,28
1686223647.094248,192.168.29.136,2107,8,12176,28
1686223647.131409,192.168.29.136,2108,8,12175,28
1686223647.304045,192.168.29.136,2109,8,12174,28
1686223647.320677,192.168.29.136,2110,8,12173,28
1686223647.331583,192.168.29.136,2111,8,12172,28
1686223647.342754,192.168.29.136,2112,8,12171,28
1686223647.354098,192.168.29.136,2113,8,12170,28
1686223647.365318,192.168.29.136,2114,8,12169,28
1686223647.382184,192.168.29.136,2115,8,12168,28
1686223647.398595,192.168.29.136,2116,8,12167,28
1686223647.550649,192.168.29.136,2117,8,12166,28
1686223647.562331,192.168.29.136,2118,8,12165,28
1686223647.574056,192.168.29.136,2119,8,12164,28
1686223647.585329,192.168.29.136,2120,8,12163,28
1686223647.785903,192.168.29.136,2121,8,12162,28
1686223647.797329,192.168.29.136,2122,8,12161,28
1686223647.808696,192.168.29.136,2123,8,12160,28
1686223647.819656,192.168.29.136,2124,8,12159,28
1686223647.830791,192.168.29.136,2125,8,12158,28
1686223647.847067,192.168.29.136,2126,8,12157,28
1686223647.858428,192.168.29.136,2127,8,12156,28
1686223647.870011,192.168.29.136,2128,8,12155,28
1686223647.881414,192.168.29.136,2129,8,12154,28
1686223647.881804,192.168.29.136,2130,8,12153,28
1686223647.945275,192.168.29.136,2131,8,12152,28
1686223647.956520,192.168.29.136,2132,8,12151,28
1686223647.967770,192.168.29.136,2133,8,12150,28
1686223647.978891,192.168.29.136,2134,8,12149,28
1686223647.990248,192.168.29.136,2135,8,12148,28
1686223648.007164,192.168.29.136,2136,8,12147,28
1686223648.018464,192.168.29.136,2137,8,12146,28
1686223648.029812,192.168.29.136,2138,8,12145,28
1686223648.041354,192.168.29.136,2139,8,12144,28
1686223648.052752,192.168.29.136,2140,8,12143,28
1686223648.090431,192.168.29.136,2141,8,12142,28
1686223648.101960,192.168.29.136,2142,8,12141,28
1686223648.134379,192.168.29.136,2143,8,12140,28
1686223648.151090,192.168.29.136,2144,8,12139,28
1686223648.162537,192.168.29.136,2145,8,12138,28
1686223648.168592,192.168.29.136,2146,8,12137,28
1686223648.179308,192.168.29.136,2147,8,12136,28
1686223648.200351,192.168.29.136,2148,8,12135,28
1686223648.211477,192.168.29.136,2149,8,12134,28
1686223648.211929,192.168.29.136,2150,8,12133,28
1686223648.217841,192.168.29.136,2151,8,12132,28
1686223648.229134,192.168.29.136,2152,8,12131,28
1686223648.297859,192.168.29.136,2153,8,12130,28
1686223648.309073,192.168.29.136,2154,8,12129,28
1686223648.320229,192.168.29.136,2155,8,12128,28
1686223648.326338,192.168.29.136,2156,8,12127,28
1686223648.337643,192.168.29.136,2157,8,12126,28
1686223648.500668,192.168.29.136,2158,8,12125,28
1686223648.517449,192.168.29.136,2159,8,12124,28
1686223648.549659,192.168.29.136,2160,8,12123,28
1686223648.571096,192.168.29.136,2161,8,12122,28
1686223648.582356,192.168.29.136,2162,8,12121,28
1686223648.593684,192.168.29.136,2163,8,12120,28
1686223648.610101,192.168.29.136,2164,8,12119,28
1686223648.621049,192.168.29.136,2165,8,12118,28
1686223648.778206,192.168.29.136,2166,8,12117,28
1686223648.789560,192.168.29.136,2167,8,12116,28
1686223648.910042,192.168.29.136,2168,8,12115,28
1686223648.921305,192.168.29.136,2169,8,12114,28
1686223648.932139,192.168.29.136,2170,8,12113,28
1686223648.943708,192.168.29.136,2171,8,12112,28
1686223648.955108,192.168.29.136,2172,8,12111,28
1686223648.971795,192.168.29.136,2173,8,12110,28
1686223648.982691,192.168.29.136,2174,8,12109,28
1686223648.993688,192.168.29.136,2175,8,12108,28
1686223649.009928,192.168.29.136,2176,8,12107,28
1686223649.026654,192.168.29.136,2177,8,12106,28
