1686224899.548740,in-event <InotifyEvent: src_path=b'FirewallRules.json', wd=1, mask=IN_OPEN, cookie=0, name=''>
1686224911.173004,192.168.29.136,2395,8,11888,28
1686224911.189879,192.168.29.136,2396,8,11887,28
1686224911.196241,192.168.29.136,2397,8,11886,28
1686224911.260497,192.168.29.136,2398,8,11885,28
1686224911.482449,192.168.29.136,2399,8,11884,28
1686224911.493782,192.168.29.136,2400,8,11883,28
1686224911.504982,192.168.29.136,2401,8,11882,28
1686224911.542210,192.168.29.136,2402,8,11881,28
1686224911.579721,192.168.29.136,2403,8,11880,28
1686224911.591042,192.168.29.136,2404,8,11879,28
1686224911.596700,192.168.29.136,2405,8,11878,28
1686224911.602511,192.168.29.136,2406,8,11877,28
1686224911.613794,192.168.29.136,2407,8,11876,28
1686224911.640507,192.168.29.136,2408,8,11875,28
1686224911.651746,192.168.29.136,2409,8,11874,28
1686224911.662958,192.168.29.136,2410,8,11873,28
1686224911.679387,192.168.29.136,2411,8,11872,28
1686224911.706166,192.168.29.136,2412,8,11871,28
1686224911.717459,192.168.29.136,2413,8,11870,28
1686224911.728798,192.168.29.136,2414,8,11869,28
1686224911.739979,192.168.29.136,2415,8,11868,28
1686224911.870979,192.168.29.136,2416,8,11867,28
1686224911.887693,192.168.29.136,2417,8,11866,28
1686224911.893669,192.168.29.136,2418,8,11865,28
1686224911.905050,192.168.29.136,2419,8,11864,28
1686224911.910637,192.168.29.136,2420,8,11863,28
1686224911.910856,192.168.29.136,2421,8,11862,28
1686224911.922105,192.168.29.136,2422,8,11861,28
1686224911.933617,192.168.29.136,2423,8,11860,28
1686224911.945544,192.168.29.136,2424,8,11859,28
1686224911.957304,192.168.29.136,2425,8,11858,28
1686224911.968689,192.168.29.136,2426,8,11857,28
1686224911.979757,192.168.29.136,2427,8,11856,28
1686224911.991041,192.168.29.136,2428,8,11855,28
1686224912.012471,192.168.29.136,2429,8,11854,28
1686224912.018460,192.168.29.136,2430,8,11853,28
1686224912.029850,192.168.29.136,2431,8,11852,28
1686224912.041014,192.168.29.136,2432,8,11851,28
1686224912.057456,192.168.29.136,2433,8,11850,28
1686224912.068542,192.168.29.136,2434,8,11849,28
1686224912.079628,192.168.29.136,2435,8,11848,28
1686224912.101278,192.168.29.136,2436,8,11847,28
1686224912.117823,192.168.29.136,2437,8,11846,28
1686224912.129178,192.168.29.136,2438,8,11845,28
1686224912.145695,192.168.29.136,2439,8,11844,28
1686224912.161960,192.168.29.136,2440,8,11843,28
1686224912.172768,192.168.29.136,2441,8,11842,28
1686224912.183690,192.168.29.136,2442,8,11841,28
1686224912.195115,192.168.29.136,2443,8,11840,28
1686224912.205862,192.168.29.136,2444,8,11839,28
1686224912.448023,192.168.29.136,2445,8,11838,28
1686224912.464339,192.168.29.136,2446,8,11837,28
1686224912.523677,192.168.29.136,2447,8,11836,28
1686224912.535486,192.168.29.136,2448,8,11835,28
1686224912.546869,192.168.29.136,2449,8,11834,28
1686224912.563401,192.168.29.136,2450,8,11833,28
1686224912.574670,192.168.29.136,2451,8,11832,28
1686224912.580703,192.168.29.136,2452,8,11831,28
1686224912.591481,192.168.29.136,2453,8,11830,28
1686224912.722925,192.168.29.136,2454,8,11829,28
1686224912.744730,192.168.29.136,2455,8,11828,28
1686224912.755965,192.168.29.136,2456,8,11827,28
1686224912.767166,192.168.29.136,2457,8,11826,28
1686224912.830765,192.168.29.136,2458,8,11825,28
1686224912.967510,192.168.29.136,2459,8,11824,28
1686224912.994596,192.168.29.136,2460,8,11823,28
1686224913.012785,192.168.29.136,2461,8,11822,28
1686224913.023977,192.168.29.136,2462,8,11821,28
1686224913.093427,192.168.29.136,2463,8,11820,28
1686224913.131400,192.168.29.136,2464,8,11819,28
1686224913.137149,192.168.29.136,2465,8,11818,28
1686224913.284372,192.168.29.136,2466,8,11817,28
1686224913.295775,192.168.29.136,2467,8,11816,28
1686224913.312336,192.168.29.136,2468,8,11815,28
1686224913.329204,192.168.29.136,2469,8,11814,28
1686224913.340575,192.168.29.136,2470,8,11813,28
1686224913.351283,192.168.29.136,2471,8,11812,28
1686224913.372360,192.168.29.136,2472,8,11811,28
1686224913.383560,192.168.29.136,2473,8,11810,28
1686224913.394726,192.168.29.136,2474,8,11809,28
1686224913.494868,192.168.29.136,2475,8,11808,28
1686224913.505949,192.168.29.136,2476,8,11807,28
1686224913.516958,192.168.29.136,2477,8,11806,28
1686224913.527937,192.168.29.136,2478,8,11805,28
1686224913.533987,192.168.29.136,2479,8,11804,28
1686224913.540006,192.168.29.136,2480,8,11803,28
1686224913.551947,192.168.29.136,2481,8,11802,28
1686224913.563574,192.168.29.136,2482,8,11801,28
1686224913.585781,192.168.29.136,2483,8,11800,28
1686224913.597307,192.168.29.136,2484,8,11799,28
1686224913.608787,192.168.29.136,2485,8,11798,28
1686224913.620186,192.168.29.136,2486,8,11797,28
1686224913.647239,192.168.29.136,2487,8,11796,28
1686224913.652826,192.168.29.136,2488,8,11795,28
1686224913.695644,192.168.29.136,2489,8,11794,28
1686224913.702309,192.168.29.136,2490,8,11793,28
1686224913.835250,192.168.29.136,2491,8,11792,28
1686224913.847062,192.168.29.136,2492,8,11791,28
1686224913.858798,192.168.29.136,2493,8,11790,28
1686224913.986690,192.168.29.136,2494,8,11789,28
1686224914.076437,192.168.29.136,2495,8,11788,28
1686224914.082134,192.168.29.136,2496,8,11787,28
1686224914.093324,192.168.29.136,2497,8,11786,28
1686224914.252766,192.168.29.136,2498,8,11785,28
1686224914.264904,192.168.29.136,2499,8,11784,28
1686224914.271236,192.168.29.136,2500,8,11783,28
1686224914.271866,192.168.29.136,2501,8,11782,28
1686224914.283172,192.168.29.136,2502,8,11781,28
1686224914.342419,192.168.29.136,2503,8,11780,28
1686224914.348594,192.168.29.136,2504,8,11779,28
1686224914.360522,192.168.29.136,2505,8,11778,28
1686224914.366879,192.168.29.136,2506,8,11777,28
1686224914.372951,192.168.29.136,2507,8,11776,28
1686224914.389919,192.168.29.136,2508,8,11775,28
1686224914.401645,192.168.29.136,2509,8,11774,28
1686224914.412804,192.168.29.136,2510,8,11773,28
1686224914.413324,192.168.29.136,2511,8,11772,28
1686224914.414032,192.168.29.136,2512,8,11771,28
1686224914.425379,192.168.29.136,2513,8,11770,28
1686224914.437105,192.168.29.136,2514,8,11769,28
1686224914.443443,192.168.29.136,2515,8,11768,28
1686224914.443921,192.168.29.136,2516,8,11767,28
1686224914.444372,192.168.29.136,2517,8,11766,28
1686224914.455752,192.168.29.136,2518,8,11765,28
1686224914.467307,192.168.29.136,2519,8,11764,28
1686224914.510120,192.168.29.136,2520,8,11763,28
1686224914.522589,192.168.29.136,2521,8,11762,28
1686224914.555478,192.168.29.136,2522,8,11761,28
1686224914.635876,192.168.29.136,2523,8,11760,28
1686224914.768773,192.168.29.136,2524,8,11759,28
1686224914.780469,192.168.29.136,2525,8,11758,28
1686224914.791998,192.168.29.136,2526,8,11757,28
1686224914.930205,192.168.29.136,2527,8,11756,28
1686224914.962687,192.168.29.136,2528,8,11755,28
1686224915.037710,192.168.29.136,2529,8,11754,28
1686224915.049187,192.168.29.136,2530,8,11753,28
1686224915.055251,192.168.29.136,2531,8,11752,28
1686224915.066586,192.168.29.136,2532,8,11751,28
1686224915.083106,192.168.29.136,2533,8,11750,28
1686224915.094601,192.168.29.136,2534,8,11749,28
1686224915.105951,192.168.29.136,2535,8,11748,28
1686224915.122531,192.168.29.136,2536,8,11747,28
1686224915.180675,192.168.29.136,2537,8,11746,28
1686224915.266146,192.168.29.136,2538,8,11745,28
1686224915.277586,192.168.29.136,2539,8,11744,28
1686224915.288858,192.168.29.136,2540,8,11743,28
1686224915.305296,192.168.29.136,2541,8,11742,28
1686224915.316692,192.168.29.136,2542,8,11741,28
1686224915.333293,192.168.29.136,2543,8,11740,28
1686224915.349959,192.168.29.136,2544,8,11739,28
1686224915.361057,192.168.29.136,2545,8,11738,28
1686224915.377840,192.168.29.136,2546,8,11737,28
1686224915.389207,192.168.29.136,2547,8,11736,28
1686224915.405775,192.168.29.136,2548,8,11735,28
