1686222589.509275,in-event <InotifyEvent: src_path=b'FirewallRules.json', wd=1, mask=IN_OPEN, cookie=0, name=''>
1686222594.396695,192.168.29.136,51977,21,45517,41
1686222594.422319,192.168.29.136,51977,21,45517,41
1686222594.472542,192.168.29.136,51977,21,45517,41
1686222594.616224,192.168.29.136,51977,21,45517,41
1686222594.698699,192.168.29.136,51977,21,45517,41
1686222594.730359,192.168.29.136,51977,21,45517,41
1686222594.756022,192.168.29.136,51977,21,45517,41
1686222594.820975,192.168.29.136,51977,21,45517,41
1686222594.836594,192.168.29.136,51977,21,45517,41
1686222594.967723,192.168.29.136,51977,21,45517,41
1686222594.988509,192.168.29.136,51977,21,45517,41
1686222595.087121,192.168.29.136,51977,21,45517,41
1686222595.135178,192.168.29.136,51977,21,45517,41
1686222595.233765,192.168.29.136,51977,21,45517,41
1686222595.357840,192.168.29.136,51977,21,45517,41
1686222595.385196,192.168.29.136,51977,21,45517,41
1686222595.408010,192.168.29.136,51977,21,45517,41
1686222595.424564,192.168.29.136,51977,21,45517,41
1686222595.496803,192.168.29.136,51977,21,45517,41
1686222595.512788,192.168.29.136,51977,21,45517,41
1686222595.575922,192.168.29.136,51977,21,45517,41
1686222595.591966,192.168.29.136,51977,21,45517,41
1686222595.634601,192.168.29.136,51977,21,45517,41
1686222595.742687,192.168.29.136,51977,21,45517,41
1686222595.812805,192.168.29.136,51977,21,45517,41
1686222596.024774,192.168.29.136,51977,21,45517,41
1686222596.046664,192.168.29.136,51977,21,45517,41
1686222596.122976,192.168.29.136,51977,21,45517,41
1686222596.175421,192.168.29.136,51977,21,45517,41
1686222596.277909,192.168.29.136,51977,21,45517,41
1686222596.294523,192.168.29.136,51977,21,45517,41
1686222596.320816,192.168.29.136,51977,21,45517,41
1686222596.384561,192.168.29.136,51977,21,45517,41
1686222596.416454,192.168.29.136,51977,21,45517,41
1686222596.510164,192.168.29.136,51977,21,45517,41
1686222596.564059,192.168.29.136,51977,21,45517,41
1686222596.583685,192.168.29.136,51977,21,45517,41
1686222596.610306,192.168.29.136,51977,21,45517,41
1686222596.632313,192.168.29.136,51977,21,45517,41
1686222596.653620,192.168.29.136,51977,21,45517,41
1686222596.708497,192.168.29.136,51977,21,45517,41
1686222596.750105,192.168.29.136,51977,21,45517,41
1686222596.797575,192.168.29.136,51977,21,45517,41
1686222596.828128,192.168.29.136,51977,21,45517,41
1686222596.878045,192.168.29.136,51977,21,45517,41
1686222597.029362,192.168.29.136,51977,21,45517,41
1686222597.089290,192.168.29.136,51977,21,45517,41
1686222597.105387,192.168.29.136,51977,21,45517,41
1686222597.154683,192.168.29.136,51977,21,45517,41
1686222597.171217,192.168.29.136,51977,21,45517,41
1686222597.192256,192.168.29.136,51977,21,45517,41
1686222597.224464,192.168.29.136,51977,21,45517,41
1686222597.250454,192.168.29.136,51977,21,45517,41
1686222597.281847,192.168.29.136,51977,21,45517,41
1686222597.303429,192.168.29.136,51977,21,45517,41
1686222597.329724,192.168.29.136,51977,21,45517,41
1686222597.438732,192.168.29.136,51977,21,45517,41
1686222597.459453,192.168.29.136,51977,21,45517,41
1686222597.486492,192.168.29.136,51977,21,45517,41
1686222597.582849,192.168.29.136,51977,21,45517,41
1686222597.692447,192.168.29.136,51977,21,45517,41
1686222597.724807,192.168.29.136,51977,21,45517,41
1686222597.752039,192.168.29.136,51977,21,45517,41
1686222597.767406,192.168.29.136,51977,21,45517,41
1686222597.877646,192.168.29.136,51977,21,45517,41
1686222597.941606,192.168.29.136,51977,21,45517,41
1686222597.961767,192.168.29.136,51977,21,45517,41
1686222597.976976,192.168.29.136,51977,21,45517,41
1686222598.105817,192.168.29.136,51977,21,45517,41
1686222598.126084,192.168.29.136,51977,21,45517,41
1686222598.151304,192.168.29.136,51977,21,45517,41
1686222598.278007,192.168.29.136,51977,21,45517,41
1686222598.315921,192.168.29.136,51977,21,45517,41
1686222598.342302,192.168.29.136,51977,21,45517,41
1686222598.396642,192.168.29.136,51977,21,45517,41
1686222598.471731,192.168.29.136,51977,21,45517,41
1686222598.611095,192.168.29.136,51977,21,45517,41
1686222598.646871,192.168.29.136,51977,21,45517,41
1686222598.790559,192.168.29.136,51977,21,45517,41
1686222598.917570,192.168.29.136,51977,21,45517,41
1686222598.943243,192.168.29.136,51977,21,45517,41
1686222599.056267,192.168.29.136,51977,21,45517,41
1686222599.071313,192.168.29.136,51977,21,45517,41
1686222599.152189,192.168.29.136,51977,21,45517,41
1686222599.312346,192.168.29.136,51977,21,45517,41
1686222599.337790,192.168.29.136,51977,21,45517,41
1686222599.386374,192.168.29.136,51977,21,45517,41
1686222599.401582,192.168.29.136,51977,21,45517,41
1686222599.449152,192.168.29.136,51977,21,45517,41
1686222599.470304,192.168.29.136,51977,21,45517,41
1686222599.519604,192.168.29.136,51977,21,45517,41
1686222599.608636,192.168.29.136,51977,21,45517,41
1686222599.717273,192.168.29.136,51977,21,45517,41
1686222599.750190,192.168.29.136,51977,21,45517,41
1686222599.767011,192.168.29.136,51977,21,45517,41
1686222599.799262,192.168.29.136,51977,21,45517,41
1686222599.853222,192.168.29.136,51977,21,45517,41
1686222599.994674,192.168.29.136,51977,21,45517,41
1686222600.125712,192.168.29.136,51977,21,45517,41
1686222600.195797,192.168.29.136,51977,21,45517,41
1686222600.321026,192.168.29.136,51977,21,45517,41
1686222600.519452,192.168.29.136,51977,21,45517,41
1686222600.584674,192.168.29.136,51977,21,45517,41
1686222600.601009,192.168.29.136,51977,21,45517,41
1686222600.699641,192.168.29.136,51977,21,45517,41
1686222600.713956,192.168.29.136,51977,21,45517,41
1686222600.735648,192.168.29.136,51977,21,45517,41
1686222600.752183,192.168.29.136,51977,21,45517,41
1686222600.796247,192.168.29.136,51977,21,45517,41
1686222600.938990,192.168.29.136,51977,21,45517,41
1686222600.960858,192.168.29.136,51977,21,45517,41
1686222600.976290,192.168.29.136,51977,21,45517,41
1686222601.028349,192.168.29.136,51977,21,45517,41
1686222601.075844,192.168.29.136,51977,21,45517,41
1686222601.117015,192.168.29.136,51977,21,45517,41
1686222601.132574,192.168.29.136,51977,21,45517,41
1686222601.147280,192.168.29.136,51977,21,45517,41
1686222601.207114,192.168.29.136,51977,21,45517,41
1686222601.250089,192.168.29.136,51977,21,45517,41
1686222601.286570,192.168.29.136,51977,21,45517,41
1686222601.323893,192.168.29.136,51977,21,45517,41
1686222601.340158,192.168.29.136,51977,21,45517,41
1686222601.366328,192.168.29.136,51977,21,45517,41
1686222601.414702,192.168.29.136,51977,21,45517,41
1686222601.441040,192.168.29.136,51977,21,45517,41
1686222601.477823,192.168.29.136,51977,21,45517,41
1686222601.515438,192.168.29.136,51977,21,45517,41
1686222601.642563,192.168.29.136,51977,21,45517,41
1686222601.673342,192.168.29.136,51977,21,45517,41
1686222601.724902,192.168.29.136,51977,21,45517,41
1686222601.739937,192.168.29.136,51977,21,45517,41
1686222601.804157,192.168.29.136,51977,21,45517,41
1686222601.825155,192.168.29.136,51977,21,45517,41
1686222601.861278,192.168.29.136,51977,21,45517,41
1686222601.887916,192.168.29.136,51977,21,45517,41
1686222601.903839,192.168.29.136,51977,21,45517,41
1686222601.957580,192.168.29.136,51977,21,45517,41
1686222601.978822,192.168.29.136,51977,21,45517,41
1686222602.022451,192.168.29.136,51977,21,45517,41
1686222602.048865,192.168.29.136,51977,21,45517,41
1686222602.115400,192.168.29.136,51977,21,45517,41
1686222602.178810,192.168.29.136,51977,21,45517,41
1686222602.203825,192.168.29.136,51977,21,45517,41
1686222602.230382,192.168.29.136,51977,21,45517,41
1686222602.263401,192.168.29.136,51977,21,45517,41
1686222602.306436,192.168.29.136,51977,21,45517,41
1686222602.332519,192.168.29.136,51977,21,45517,41
1686222602.374986,192.168.29.136,51977,21,45517,41
1686222602.504863,192.168.29.136,51977,21,45517,41
1686222602.601877,192.168.29.136,51977,21,45517,41
1686222602.655107,192.168.29.136,51977,21,45517,41
1686222602.676990,192.168.29.136,51977,21,45517,41
1686222602.730126,192.168.29.136,51977,21,45517,41
1686222602.767384,192.168.29.136,51977,21,45517,41
1686222602.782687,192.168.29.136,51977,21,45517,41
1686222602.819248,192.168.29.136,51977,21,45517,41
1686222602.889657,192.168.29.136,51977,21,45517,41
1686222602.916411,192.168.29.136,51977,21,45517,41
1686222602.942095,192.168.29.136,51977,21,45517,41
1686222602.979369,192.168.29.136,51977,21,45517,41
1686222602.994216,192.168.29.136,51977,21,45517,41
1686222603.086876,192.168.29.136,51977,21,45517,41
1686222603.112262,192.168.29.136,51977,21,45517,41
1686222603.210604,192.168.29.136,51977,21,45517,41
1686222603.248206,192.168.29.136,51977,21,45517,41
1686222603.308117,192.168.29.136,51977,21,45517,41
1686222603.339947,192.168.29.136,51977,21,45517,41
1686222603.355643,192.168.29.136,51977,21,45517,41
1686222603.371827,192.168.29.136,51977,21,45517,41
1686222603.393401,192.168.29.136,51977,21,45517,41
1686222603.436272,192.168.29.136,51977,21,45517,41
1686222603.463081,192.168.29.136,51977,21,45517,41
1686222603.543315,192.168.29.136,51977,21,45517,41
1686222603.563410,192.168.29.136,51977,21,45517,41
1686222603.590230,192.168.29.136,51977,21,45517,41
1686222603.693192,192.168.29.136,51977,21,45517,41
1686222603.719038,192.168.29.136,51977,21,45517,41
1686222603.761664,192.168.29.136,51977,21,45517,41
1686222603.789686,192.168.29.136,51977,21,45517,41
1686222603.866481,192.168.29.136,51977,21,45517,41
1686222603.948558,192.168.29.136,51977,21,45517,41
1686222603.991713,192.168.29.136,51977,21,45517,41
1686222604.095606,192.168.29.136,51977,21,45517,41
1686222604.143321,192.168.29.136,51977,21,45517,41
1686222604.179206,192.168.29.136,51977,21,45517,41
1686222604.200204,192.168.29.136,51977,21,45517,41
1686222604.306047,192.168.29.136,51977,21,45517,41
1686222604.333250,192.168.29.136,51977,21,45517,41
1686222604.365257,192.168.29.136,51977,21,45517,41
1686222604.396396,192.168.29.136,51977,21,45517,41
1686222604.478502,192.168.29.136,51977,21,45517,41
1686222604.500167,192.168.29.136,51977,21,45517,41
1686222604.527024,192.168.29.136,51977,21,45517,41
1686222604.596032,192.168.29.136,51977,21,45517,41
1686222604.638304,192.168.29.136,51977,21,45517,41
1686222604.689929,192.168.29.136,51977,21,45517,41
1686222604.710656,192.168.29.136,51977,21,45517,41
1686222604.742898,192.168.29.136,51977,21,45517,41
1686222604.769970,192.168.29.136,51977,21,45517,41
1686222604.893227,192.168.29.136,51977,21,45517,41
1686222604.907115,192.168.29.136,51977,21,45517,41
1686222604.922266,192.168.29.136,51977,21,45517,41
1686222604.936702,192.168.29.136,51977,21,45517,41
1686222604.951202,192.168.29.136,51977,21,45517,41
1686222605.004599,192.168.29.136,51977,21,45517,41
1686222605.031440,192.168.29.136,51977,21,45517,41
1686222605.070499,192.168.29.136,51977,21,45517,41
1686222605.210409,192.168.29.136,51977,21,45517,41
1686222605.225663,192.168.29.136,51977,21,45517,41
1686222605.251809,192.168.29.136,51977,21,45517,41
