1686223183.691677,in-event <InotifyEvent: src_path=b'FirewallRules.json', wd=1, mask=IN_OPEN, cookie=0, name=''>
1686223191.473895,192.168.29.136,48675,21,48819,41
1686223191.500586,192.168.29.136,48675,21,48819,41
1686223191.532083,192.168.29.136,48675,21,48819,41
1686223191.570005,192.168.29.136,48675,21,48819,41
1686223191.778373,192.168.29.136,48675,21,48819,41
1686223191.799860,192.168.29.136,48675,21,48819,41
1686223191.817041,192.168.29.136,48675,21,48819,41
1686223191.838707,192.168.29.136,48675,21,48819,41
1686223191.968045,192.168.29.136,48675,21,48819,41
1686223192.048793,192.168.29.136,48675,21,48819,41
1686223192.064905,192.168.29.136,48675,21,48819,41
1686223192.113064,192.168.29.136,48675,21,48819,41
1686223192.195201,192.168.29.136,48675,21,48819,41
1686223192.270884,192.168.29.136,48675,21,48819,41
1686223192.302940,192.168.29.136,48675,21,48819,41
1686223192.371656,192.168.29.136,48675,21,48819,41
1686223192.397811,192.168.29.136,48675,21,48819,41
1686223192.423685,192.168.29.136,48675,21,48819,41
1686223192.569078,192.168.29.136,48675,21,48819,41
1686223192.651371,192.168.29.136,48675,21,48819,41
1686223192.682304,192.168.29.136,48675,21,48819,41
1686223192.816968,192.168.29.136,48675,21,48819,41
1686223192.837627,192.168.29.136,48675,21,48819,41
1686223192.875251,192.168.29.136,48675,21,48819,41
1686223192.923424,192.168.29.136,48675,21,48819,41
1686223192.998683,192.168.29.136,48675,21,48819,41
1686223193.063717,192.168.29.136,48675,21,48819,41
1686223193.084295,192.168.29.136,48675,21,48819,41
1686223193.116265,192.168.29.136,48675,21,48819,41
1686223193.154130,192.168.29.136,48675,21,48819,41
1686223193.169921,192.168.29.136,48675,21,48819,41
1686223193.189317,192.168.29.136,48675,21,48819,41
1686223193.211957,192.168.29.136,48675,21,48819,41
1686223193.250043,192.168.29.136,48675,21,48819,41
1686223193.364456,192.168.29.136,48675,21,48819,41
1686223193.465221,192.168.29.136,48675,21,48819,41
1686223193.541304,192.168.29.136,48675,21,48819,41
1686223193.562679,192.168.29.136,48675,21,48819,41
1686223193.595620,192.168.29.136,48675,21,48819,41
1686223193.687337,192.168.29.136,48675,21,48819,41
1686223193.827209,192.168.29.136,48675,21,48819,41
1686223193.973314,192.168.29.136,48675,21,48819,41
1686223193.988696,192.168.29.136,48675,21,48819,41
1686223194.034905,192.168.29.136,48675,21,48819,41
1686223194.088282,192.168.29.136,48675,21,48819,41
1686223194.118759,192.168.29.136,48675,21,48819,41
1686223194.190166,192.168.29.136,48675,21,48819,41
1686223194.243802,192.168.29.136,48675,21,48819,41
1686223194.265400,192.168.29.136,48675,21,48819,41
1686223194.411973,192.168.29.136,48675,21,48819,41
1686223194.444036,192.168.29.136,48675,21,48819,41
1686223194.466471,192.168.29.136,48675,21,48819,41
1686223194.498319,192.168.29.136,48675,21,48819,41
1686223194.551867,192.168.29.136,48675,21,48819,41
1686223194.615785,192.168.29.136,48675,21,48819,41
1686223194.663860,192.168.29.136,48675,21,48819,41
1686223194.695430,192.168.29.136,48675,21,48819,41
1686223194.727661,192.168.29.136,48675,21,48819,41
1686223194.764724,192.168.29.136,48675,21,48819,41
1686223194.974397,192.168.29.136,48675,21,48819,41
1686223195.033769,192.168.29.136,48675,21,48819,41
1686223195.055379,192.168.29.136,48675,21,48819,41
1686223195.185941,192.168.29.136,48675,21,48819,41
1686223195.207623,192.168.29.136,48675,21,48819,41
1686223195.228842,192.168.29.136,48675,21,48819,41
1686223195.254792,192.168.29.136,48675,21,48819,41
1686223195.282014,192.168.29.136,48675,21,48819,41
1686223195.425285,192.168.29.136,48675,21,48819,41
1686223195.467866,192.168.29.136,48675,21,48819,41
1686223195.542611,192.168.29.136,48675,21,48819,41
1686223195.730153,192.168.29.136,48675,21,48819,41
1686223195.777907,192.168.29.136,48675,21,48819,41
1686223195.798789,192.168.29.136,48675,21,48819,41
1686223195.949926,192.168.29.136,48675,21,48819,41
1686223195.976902,192.168.29.136,48675,21,48819,41
1686223196.018118,192.168.29.136,48675,21,48819,41
1686223196.092088,192.168.29.136,48675,21,48819,41
1686223196.203743,192.168.29.136,48675,21,48819,41
1686223196.225539,192.168.29.136,48675,21,48819,41
1686223196.393113,192.168.29.136,48675,21,48819,41
1686223196.418554,192.168.29.136,48675,21,48819,41
1686223196.521010,192.168.29.136,48675,21,48819,41
1686223196.581270,192.168.29.136,48675,21,48819,41
1686223196.626893,192.168.29.136,48675,21,48819,41
1686223196.643130,192.168.29.136,48675,21,48819,41
1686223196.676173,192.168.29.136,48675,21,48819,41
1686223196.692351,192.168.29.136,48675,21,48819,41
1686223196.739541,192.168.29.136,48675,21,48819,41
1686223196.809935,192.168.29.136,48675,21,48819,41
1686223196.830545,192.168.29.136,48675,21,48819,41
1686223196.860391,192.168.29.136,48675,21,48819,41
1686223196.979918,192.168.29.136,48675,21,48819,41
1686223196.995990,192.168.29.136,48675,21,48819,41
1686223197.092121,192.168.29.136,48675,21,48819,41
1686223197.122844,192.168.29.136,48675,21,48819,41
1686223197.148120,192.168.29.136,48675,21,48819,41
1686223197.191658,192.168.29.136,48675,21,48819,41
1686223197.230215,192.168.29.136,48675,21,48819,41
1686223197.251080,192.168.29.136,48675,21,48819,41
1686223197.272139,192.168.29.136,48675,21,48819,41
1686223197.298697,192.168.29.136,48675,21,48819,41
1686223197.318911,192.168.29.136,48675,21,48819,41
1686223197.342632,192.168.29.136,48675,21,48819,41
1686223197.412120,192.168.29.136,48675,21,48819,41
1686223197.554262,192.168.29.136,48675,21,48819,41
1686223197.591032,192.168.29.136,48675,21,48819,41
1686223197.651420,192.168.29.136,48675,21,48819,41
1686223197.750409,192.168.29.136,48675,21,48819,41
1686223197.831165,192.168.29.136,48675,21,48819,41
1686223197.933435,192.168.29.136,48675,21,48819,41
1686223197.970715,192.168.29.136,48675,21,48819,41
1686223197.991683,192.168.29.136,48675,21,48819,41
1686223198.134937,192.168.29.136,48675,21,48819,41
1686223198.165178,192.168.29.136,48675,21,48819,41
1686223198.186626,192.168.29.136,48675,21,48819,41
1686223198.291450,192.168.29.136,48675,21,48819,41
1686223198.322440,192.168.29.136,48675,21,48819,41
1686223198.409948,192.168.29.136,48675,21,48819,41
1686223198.464443,192.168.29.136,48675,21,48819,41
1686223198.603744,192.168.29.136,48675,21,48819,41
1686223198.667209,192.168.29.136,48675,21,48819,41
1686223198.731450,192.168.29.136,48675,21,48819,41
1686223198.748101,192.168.29.136,48675,21,48819,41
1686223198.764073,192.168.29.136,48675,21,48819,41
1686223198.790257,192.168.29.136,48675,21,48819,41
1686223198.871524,192.168.29.136,48675,21,48819,41
1686223198.914747,192.168.29.136,48675,21,48819,41
1686223198.930223,192.168.29.136,48675,21,48819,41
1686223198.968651,192.168.29.136,48675,21,48819,41
1686223198.990030,192.168.29.136,48675,21,48819,41
1686223199.011089,192.168.29.136,48675,21,48819,41
1686223199.049666,192.168.29.136,48675,21,48819,41
1686223199.092015,192.168.29.136,48675,21,48819,41
1686223199.253348,192.168.29.136,48675,21,48819,41
1686223199.268301,192.168.29.136,48675,21,48819,41
1686223199.337329,192.168.29.136,48675,21,48819,41
1686223199.463789,192.168.29.136,48675,21,48819,41
1686223199.490062,192.168.29.136,48675,21,48819,41
1686223199.653230,192.168.29.136,48675,21,48819,41
1686223199.673444,192.168.29.136,48675,21,48819,41
1686223199.733721,192.168.29.136,48675,21,48819,41
1686223199.747818,192.168.29.136,48675,21,48819,41
1686223199.857595,192.168.29.136,48675,21,48819,41
1686223199.905007,192.168.29.136,48675,21,48819,41
1686223199.974721,192.168.29.136,48675,21,48819,41
1686223200.013333,192.168.29.136,48675,21,48819,41
1686223200.034699,192.168.29.136,48675,21,48819,41
1686223200.181571,192.168.29.136,48675,21,48819,41
1686223200.275194,192.168.29.136,48675,21,48819,41
1686223200.289967,192.168.29.136,48675,21,48819,41
1686223200.342900,192.168.29.136,48675,21,48819,41
1686223200.367332,192.168.29.136,48675,21,48819,41
1686223200.398387,192.168.29.136,48675,21,48819,41
1686223200.446689,192.168.29.136,48675,21,48819,41
1686223200.461450,192.168.29.136,48675,21,48819,41
1686223200.488187,192.168.29.136,48675,21,48819,41
1686223200.503950,192.168.29.136,48675,21,48819,41
1686223200.655656,192.168.29.136,48675,21,48819,41
1686223200.724586,192.168.29.136,48675,21,48819,41
1686223200.753568,192.168.29.136,48675,21,48819,41
1686223201.038639,192.168.29.136,48675,21,48819,41
1686223201.146283,192.168.29.136,48675,21,48819,41
1686223201.304175,192.168.29.136,48675,21,48819,41
1686223201.357315,192.168.29.136,48675,21,48819,41
1686223201.474989,192.168.29.136,48675,21,48819,41
1686223201.695333,192.168.29.136,48675,21,48819,41
1686223201.758240,192.168.29.136,48675,21,48819,41
1686223201.784967,192.168.29.136,48675,21,48819,41
1686223201.827640,192.168.29.136,48675,21,48819,41
1686223201.849206,192.168.29.136,48675,21,48819,41
1686223201.864440,192.168.29.136,48675,21,48819,41
1686223201.928183,192.168.29.136,48675,21,48819,41
1686223201.954138,192.168.29.136,48675,21,48819,41
1686223202.054090,192.168.29.136,48675,21,48819,41
1686223202.090747,192.168.29.136,48675,21,48819,41
1686223202.111514,192.168.29.136,48675,21,48819,41
1686223202.132161,192.168.29.136,48675,21,48819,41
1686223202.234047,192.168.29.136,48675,21,48819,41
1686223202.325247,192.168.29.136,48675,21,48819,41
1686223202.525419,192.168.29.136,48675,21,48819,41
1686223202.658668,192.168.29.136,48675,21,48819,41
1686223202.712713,192.168.29.136,48675,21,48819,41
1686223202.879359,192.168.29.136,48675,21,48819,41
1686223203.025347,192.168.29.136,48675,21,48819,41
1686223203.051524,192.168.29.136,48675,21,48819,41
1686223203.078220,192.168.29.136,48675,21,48819,41
1686223203.093871,192.168.29.136,48675,21,48819,41
1686223203.109943,192.168.29.136,48675,21,48819,41
1686223203.180443,192.168.29.136,48675,21,48819,41
1686223203.217407,192.168.29.136,48675,21,48819,41
1686223203.390793,192.168.29.136,48675,21,48819,41
1686223203.433404,192.168.29.136,48675,21,48819,41
1686223203.470860,192.168.29.136,48675,21,48819,41
1686223203.514014,192.168.29.136,48675,21,48819,41
1686223203.572425,192.168.29.136,48675,21,48819,41
1686223203.621262,192.168.29.136,48675,21,48819,41
1686223203.698111,192.168.29.136,48675,21,48819,41
1686223203.713450,192.168.29.136,48675,21,48819,41
1686223203.727824,192.168.29.136,48675,21,48819,41
1686223203.748127,192.168.29.136,48675,21,48819,41
1686223203.763631,192.168.29.136,48675,21,48819,41
1686223203.832145,192.168.29.136,48675,21,48819,41
1686223203.914010,192.168.29.136,48675,21,48819,41
1686223203.934694,192.168.29.136,48675,21,48819,41
1686223203.949746,192.168.29.136,48675,21,48819,41
1686223203.965469,192.168.29.136,48675,21,48819,41
1686223204.041955,192.168.29.136,48675,21,48819,41
1686223204.112902,192.168.29.136,48675,21,48819,41
1686223204.167025,192.168.29.136,48675,21,48819,41
1686223204.264935,192.168.29.136,48675,21,48819,41
1686223204.286135,192.168.29.136,48675,21,48819,41
1686223204.335395,192.168.29.136,48675,21,48819,41
1686223204.422345,192.168.29.136,48675,21,48819,41
1686223204.448686,192.168.29.136,48675,21,48819,41
1686223204.494527,192.168.29.136,48675,21,48819,41
1686223204.653261,192.168.29.136,48675,21,48819,41
1686223204.679457,192.168.29.136,48675,21,48819,41
1686223204.694090,192.168.29.136,48675,21,48819,41
1686223204.708615,192.168.29.136,48675,21,48819,41
1686223204.781779,192.168.29.136,48675,21,48819,41
1686223204.814175,192.168.29.136,48675,21,48819,41
1686223204.950454,192.168.29.136,48675,21,48819,41
1686223205.026542,192.168.29.136,48675,21,48819,41
1686223205.092310,192.168.29.136,48675,21,48819,41
1686223205.113763,192.168.29.136,48675,21,48819,41
1686223205.178967,192.168.29.136,48675,21,48819,41
1686223205.232295,192.168.29.136,48675,21,48819,41
1686223205.279544,192.168.29.136,48675,21,48819,41
1686223205.350415,192.168.29.136,48675,21,48819,41
1686223205.485618,192.168.29.136,48675,21,48819,41
1686223205.518666,192.168.29.136,48675,21,48819,41
1686223205.556793,192.168.29.136,48675,21,48819,41
1686223205.582272,192.168.29.136,48675,21,48819,41
1686223205.614110,192.168.29.136,48675,21,48819,41
1686223205.656255,192.168.29.136,48675,21,48819,41
1686223205.714510,192.168.29.136,48675,21,48819,41
1686223205.807039,192.168.29.136,48675,21,48819,41
1686223205.932296,192.168.29.136,48675,21,48819,41
1686223205.948776,192.168.29.136,48675,21,48819,41
1686223205.992370,192.168.29.136,48675,21,48819,41
1686223206.017719,192.168.29.136,48675,21,48819,41
1686223206.077428,192.168.29.136,48675,21,48819,41
1686223206.105169,192.168.29.136,48675,21,48819,41
1686223206.186127,192.168.29.136,48675,21,48819,41
1686223206.288575,192.168.29.136,48675,21,48819,41
1686223206.354287,192.168.29.136,48675,21,48819,41
1686223206.370463,192.168.29.136,48675,21,48819,41
1686223206.390154,192.168.29.136,48675,21,48819,41
1686223206.529677,192.168.29.136,48675,21,48819,41
1686223206.641860,192.168.29.136,48675,21,48819,41
1686223206.705669,192.168.29.136,48675,21,48819,41
1686223206.725878,192.168.29.136,48675,21,48819,41
1686223206.767550,192.168.29.136,48675,21,48819,41
1686223206.783669,192.168.29.136,48675,21,48819,41
1686223206.842293,192.168.29.136,48675,21,48819,41
1686223206.874024,192.168.29.136,48675,21,48819,41
1686223206.905146,192.168.29.136,48675,21,48819,41
1686223206.937418,192.168.29.136,48675,21,48819,41
1686223206.958647,192.168.29.136,48675,21,48819,41
1686223206.984828,192.168.29.136,48675,21,48819,41
1686223207.006761,192.168.29.136,48675,21,48819,41
1686223207.066116,192.168.29.136,48675,21,48819,41
1686223207.141045,192.168.29.136,48675,21,48819,41
1686223207.260873,192.168.29.136,48675,21,48819,41
1686223207.277785,192.168.29.136,48675,21,48819,41
1686223207.303827,192.168.29.136,48675,21,48819,41
1686223207.329209,192.168.29.136,48675,21,48819,41
1686223207.365784,192.168.29.136,48675,21,48819,41
1686223207.396606,192.168.29.136,48675,21,48819,41
1686223207.454992,192.168.29.136,48675,21,48819,41
1686223207.512863,192.168.29.136,48675,21,48819,41
1686223207.610911,192.168.29.136,48675,21,48819,41
1686223207.627345,192.168.29.136,48675,21,48819,41
1686223207.648613,192.168.29.136,48675,21,48819,41
1686223207.688363,192.168.29.136,48675,21,48819,41
1686223207.704120,192.168.29.136,48675,21,48819,41
1686223207.757994,192.168.29.136,48675,21,48819,41
1686223207.807858,192.168.29.136,48675,21,48819,41
1686223207.829192,192.168.29.136,48675,21,48819,41
1686223207.865735,192.168.29.136,48675,21,48819,41
1686223207.880283,192.168.29.136,48675,21,48819,41
1686223207.895850,192.168.29.136,48675,21,48819,41
1686223207.948863,192.168.29.136,48675,21,48819,41
1686223207.968602,192.168.29.136,48675,21,48819,41
1686223208.015949,192.168.29.136,48675,21,48819,41
1686223208.161534,192.168.29.136,48675,21,48819,41
1686223208.235023,192.168.29.136,48675,21,48819,41
1686223208.282560,192.168.29.136,48675,21,48819,41
1686223208.303506,192.168.29.136,48675,21,48819,41
1686223208.319481,192.168.29.136,48675,21,48819,41
1686223208.340190,192.168.29.136,48675,21,48819,41
1686223208.370584,192.168.29.136,48675,21,48819,41
1686223208.406883,192.168.29.136,48675,21,48819,41
1686223208.432950,192.168.29.136,48675,21,48819,41
1686223208.464259,192.168.29.136,48675,21,48819,41
1686223208.479040,192.168.29.136,48675,21,48819,41
1686223208.504877,192.168.29.136,48675,21,48819,41
