1686221896.799886,in-event <InotifyEvent: src_path=b'FirewallRules.json', wd=1, mask=IN_OPEN, cookie=0, name=''>
1686221899.462923,192.168.29.136,39249,21,58245,41
1686221902.493121,192.168.29.136,39249,21,58245,41
1686221912.559366,192.168.29.136,39249,21,58245,41
1686221921.609390,192.168.29.136,39249,21,58245,41
1686221923.683637,192.168.29.136,39249,21,58245,41
1686221931.777607,192.168.29.136,39249,21,58245,41
1686221938.825814,192.168.29.136,39249,21,58245,41
1686221943.877567,192.168.29.136,39249,21,58245,41
1686221947.918342,192.168.29.136,39249,21,58245,41
1686221956.075846,192.168.29.136,39249,21,58245,41
1686221958.201313,192.168.29.136,39249,21,58245,41
1686221967.238331,192.168.29.136,39249,21,58245,41
1686221970.259720,192.168.29.136,39249,21,58245,41
1686221978.369844,192.168.29.136,39249,21,58245,41
1686221988.595666,192.168.29.136,39249,21,58245,41
1686221994.710738,192.168.29.136,39249,21,58245,41
1686221998.795928,192.168.29.136,39249,21,58245,41
1686222004.840216,192.168.29.136,39249,21,58245,41
1686222008.916383,192.168.29.136,39249,21,58245,41
1686222010.021416,192.168.29.136,39249,21,58245,41
1686222014.097880,192.168.29.136,39249,21,58245,41
1686222017.120759,192.168.29.136,39249,21,58245,41
1686222022.245436,192.168.29.136,39249,21,58245,41
1686222027.310822,192.168.29.136,39249,21,58245,41
1686222027.351147,192.168.29.136,39249,21,58245,41
1686222031.337624,192.168.29.141,42068,21,55421,41
1686222032.432036,192.168.29.136,39249,21,58245,41
1686222039.473105,192.168.29.141,42068,21,55421,41
1686222041.510227,192.168.29.136,39249,21,58245,41
1686222045.634359,192.168.29.141,42068,21,55421,41
1686222048.569932,192.168.29.136,39249,21,58245,41
1686222050.710835,192.168.29.141,42068,21,55421,41
1686222050.841774,192.168.29.141,42068,21,55421,41
1686222051.597209,192.168.29.136,39249,21,58245,41
1686222051.919540,192.168.29.141,42068,21,55421,41
1686222057.971205,192.168.29.141,42068,21,55421,41
1686222061.623438,192.168.29.136,39249,21,58245,41
1686222065.781973,192.168.29.136,39249,21,58245,41
1686222068.025825,192.168.29.141,42068,21,55421,41
1686222069.807462,192.168.29.136,39249,21,58245,41
1686222071.060453,192.168.29.141,42068,21,55421,41
1686222074.846072,192.168.29.136,39249,21,58245,41
1686222077.101875,192.168.29.141,42068,21,55421,41
1686222083.147465,192.168.29.141,42068,21,55421,41
1686222085.100704,192.168.29.136,39249,21,58245,41
1686222085.178019,192.168.29.141,42068,21,55421,41
1686222092.203473,192.168.29.141,42068,21,55421,41
1686222093.141560,192.168.29.136,39249,21,58245,41
1686222099.193798,192.168.29.136,39249,21,58245,41
1686222099.280191,192.168.29.141,42068,21,55421,41
1686222102.335729,192.168.29.141,42068,21,55421,41
1686222104.273931,192.168.29.136,39249,21,58245,41
1686222108.300835,192.168.29.136,39249,21,58245,41
1686222109.335657,192.168.29.136,39249,21,58245,41
1686222111.353178,192.168.29.136,39249,21,58245,41
1686222112.391456,192.168.29.141,42068,21,55421,41
1686222115.427540,192.168.29.136,39249,21,58245,41
1686222117.478354,192.168.29.141,42068,21,55421,41
1686222122.609347,192.168.29.141,42068,21,55421,41
1686222123.484484,192.168.29.136,39249,21,58245,41
1686222127.640732,192.168.29.136,39249,21,58245,41
1686222132.729753,192.168.29.141,42068,21,55421,41
1686222133.763825,192.168.29.141,42068,21,55421,41
1686222136.776708,192.168.29.136,39249,21,58245,41
1686222140.817425,192.168.29.136,39249,21,58245,41
1686222143.793855,192.168.29.141,42068,21,55421,41
1686222150.898417,192.168.29.136,39249,21,58245,41
1686222150.912760,192.168.29.136,39249,21,58245,41
1686222153.832761,192.168.29.141,42068,21,55421,41
1686222154.940307,192.168.29.136,39249,21,58245,41
1686222157.990125,192.168.29.136,39249,21,58245,41
1686222164.007573,192.168.29.141,42068,21,55421,41
1686222164.152604,192.168.29.136,39249,21,58245,41
1686222166.216853,192.168.29.136,39249,21,58245,41
1686222166.727982,192.168.29.140,53568,21,43922,41
1686222168.313129,192.168.29.136,39249,21,58245,41
1686222170.071975,192.168.29.141,42068,21,55421,41
1686222173.131194,192.168.29.141,42068,21,55421,41
1686222174.775407,192.168.29.140,53568,21,43922,41
1686222176.444273,192.168.29.136,39249,21,58245,41
1686222177.505871,192.168.29.136,39249,21,58245,41
1686222180.732745,192.168.29.136,39249,21,58245,41
1686222180.759721,192.168.29.136,39249,21,58245,41
1686222182.822928,192.168.29.136,39249,21,58245,41
1686222182.866637,192.168.29.140,53568,21,43922,41
1686222183.221951,192.168.29.141,42068,21,55421,41
1686222183.902316,192.168.29.136,39249,21,58245,41
1686222183.933673,192.168.29.136,39249,21,58245,41
1686222186.925836,192.168.29.140,53568,21,43922,41
1686222188.268126,192.168.29.141,42068,21,55421,41
1686222191.976332,192.168.29.136,39249,21,58245,41
1686222191.989513,192.168.29.140,53568,21,43922,41
1686222194.013181,192.168.29.140,53568,21,43922,41
1686222194.332335,192.168.29.141,42068,21,55421,41
1686222198.039475,192.168.29.136,39249,21,58245,41
1686222199.381888,192.168.29.141,42068,21,55421,41
1686222203.076090,192.168.29.140,53568,21,43922,41
1686222204.537436,192.168.29.141,42068,21,55421,41
1686222205.139774,192.168.29.136,39249,21,58245,41
1686222205.555437,192.168.29.141,42068,21,55421,41
1686222206.123820,192.168.29.140,53568,21,43922,41
1686222206.188431,192.168.29.136,39249,21,58245,41
1686222206.203820,192.168.29.136,39249,21,58245,41
1686222207.173721,192.168.29.140,53568,21,43922,41
1686222207.221266,192.168.29.136,39249,21,58245,41
1686222210.212394,192.168.29.140,53568,21,43922,41
1686222210.321911,192.168.29.140,53568,21,43922,41
1686222210.649111,192.168.29.141,42068,21,55421,41
1686222210.665057,192.168.29.141,42068,21,55421,41
1686222211.253106,192.168.29.136,39249,21,58245,41
1686222212.386580,192.168.29.140,53568,21,43922,41
1686222214.721171,192.168.29.141,42068,21,55421,41
1686222220.285676,192.168.29.136,39249,21,58245,41
1686222221.532849,192.168.29.140,53568,21,43922,41
1686222221.618234,192.168.29.140,53568,21,43922,41
1686222221.745069,192.168.29.141,42068,21,55421,41
1686222226.874167,192.168.29.141,42068,21,55421,41
1686222227.637879,192.168.29.140,53568,21,43922,41
1686222228.362587,192.168.29.136,39249,21,58245,41
1686222232.337312,192.168.29.139,53965,21,43526,41
1686222233.359886,192.168.29.139,53965,21,43526,41
1686222234.710400,192.168.29.140,53568,21,43922,41
1686222234.975814,192.168.29.141,42068,21,55421,41
1686222236.441732,192.168.29.136,39249,21,58245,41
1686222236.736429,192.168.29.140,53568,21,43922,41
1686222239.391820,192.168.29.139,53965,21,43526,41
1686222241.475414,192.168.29.139,53965,21,43526,41
1686222244.789113,192.168.29.140,53568,21,43922,41
1686222245.003732,192.168.29.141,42068,21,55421,41
1686222246.494880,192.168.29.136,39249,21,58245,41
1686222248.813826,192.168.29.140,53568,21,43922,41
1686222249.062805,192.168.29.141,42068,21,55421,41
1686222249.513896,192.168.29.139,53965,21,43526,41
1686222250.546308,192.168.29.139,53965,21,43526,41
1686222251.570730,192.168.29.136,39249,21,58245,41
